employer                 ,outstanding months, Name of Fund

Bargaining Council for the Furniture Dhasi's lounge suite repairs and upholstery     CC                                                        , 49  ,                    Manufacturing Industry of the Western  Cape Provident Fund

Amble Trading CC                                          , 49  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Couch Company (Pty) Ltd                                   , 49  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Greater Letaba                                            , 48  ,  Municipal Councillors Pension Fund
Agility Management t/a StreetWise Guarding                                                  , 48  ,  Private Security Sector Provident Fund
Braber Security Services                                  , 48  ,  Private Security Sector Provident Fund
C Protection Services (Pty) Ltd                           , 48  ,  Private Security Sector Provident Fund
Calvary Enterprise                                        , 48  ,  Private Security Sector Provident Fund
Dragon Protection Services                                , 48  ,  Private Security Sector Provident Fund
Fisokuhle Multi Services                                  , 48  ,  Private Security Sector Provident Fund
Forca Suprema Security                                    , 48  ,  Private Security Sector Provident Fund
Funza Security Services                                   , 48  ,  Private Security Sector Provident Fund
Fuyatha General Trading CC                                , 48  ,  Private Security Sector Provident Fund
Global Strake Security                                    , 48  ,  Private Security Sector Provident Fund
GNS Security Services CC                                  , 48  ,  Private Security Sector Provident Fund
GPARM Protection Services                                 , 48  ,  Private Security Sector Provident Fund
GVK Transport & Projects                                  , 48  ,  Private Security Sector Provident Fund
Inkululeko Yama Africa Trading and Projects (Pty) Ltd t/a Iya Protection Services                                                  , 48  ,  Private Security Sector Provident Fund
Maile Consulting                                          , 48  ,  Private Security Sector Provident Fund
Mamayila Trading Enterprise                               , 48  ,  Private Security Sector Provident Fund
Naka Tsa Phala Trading Enterprise t/a NTP Security                                              , 48  ,  Private Security Sector Provident Fund
Rapid Effects 101                                         , 48  ,  Private Security Sector Provident Fund
Xplore Nation Logistics t/a Xplore Nation                 , 48  ,  Private Security Sector Provident Fund

Jian Rong                                                 , 48  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund
The Butler Caterers                                       , 47  ,  SACCAWU National Provident Fund

!Kheis Local Municipality                                 , 47  , Consolidated Retirement Fund for Local  Government
Aaa Alarms CC                                             , 47  ,  Private Security Sector Provident Fund
Arcfyre International (Pty) Ltd                           , 47  ,  Private Security Sector Provident Fund
Baruch Security Services                                  , 47  ,  Private Security Sector Provident Fund
Bkt Protection Services                                   , 47  ,  Private Security Sector Provident Fund
Chapeta Holdings                                          , 47  ,  Private Security Sector Provident Fund
Dloziman Trading Enterprise CC                            , 47  ,  Private Security Sector Provident Fund
Gotcha Security                                           , 47  ,  Private Security Sector Provident Fund
Kamponga Security Services                                , 47  ,  Private Security Sector Provident Fund
Kutoane Suppliers t/a Kutoane Security Company                                                   , 47  ,  Private Security Sector Provident Fund
Laws Stores Security t/a lSS Security                     , 47  ,  Private Security Sector Provident Fund
Main Gate Security CC                                     , 47  ,  Private Security Sector Provident Fund
Mina Ill Bring Trading and Projects                       , 47  ,  Private Security Sector Provident Fund
Mumami Trading and Projects                               , 47  ,  Private Security Sector Provident Fund
Ngodvongodvo Trading                                      , 47  ,  Private Security Sector Provident Fund
P E Security Guards ta alerts Security Guards                                                    , 47  ,  Private Security Sector Provident Fund
P Z Skhonde Transportation and General t/a P Z Skhonde Security                                  , 47  ,  Private Security Sector Provident Fund
Prozibuzz (Pty) Ltd                                       , 47  ,  Private Security Sector Provident Fund
Puso Tau Logistics CC t/a Puso Security                   , 47  ,  Private Security Sector Provident Fund
S.A Ranger Forces Security Division CC                    , 47  ,  Private Security Sector Provident Fund
STP Holdings                                              , 47  ,  Private Security Sector Provident Fund

Gerhard Vermeulen                                         , 47  ,  Bargaining Council for the Furniture Manufacturing Industry of the Western Cape Provident Fund
Mafube                                                    , 46  ,  Municipal Councillors Pension Fund
Moqhaka                                                   , 46  ,  Municipal Councillors Pension Fund
Big 5 False Bay                                           , 46  ,  Municipal Councillors Pension Fund
Vital Administration CC                                   , 46  ,  SACCAWU National Provident Fund
Chithibhunga Projects (Pty) Ltd t/a Chithibhunga Security Services                            , 46  ,  Private Security Sector Provident Fund
Clear Point Security and Hygiene Services t/a Provtech Construction and Projects                    , 46  ,  Private Security Sector Provident Fund
Cyprine Trade t/a Nyati Security Solutions PE                                                        , 46  ,  Private Security Sector Provident Fund
F & J Law Enforcement                                     , 46  ,  Private Security Sector Provident Fund
Fourth Dimension Technical Corporation CC t/a 4th Dimension Armed Response                       , 46  ,  Private Security Sector Provident Fund
G3 Investigations                                         , 46  ,  Private Security Sector Provident Fund
Isibonile Security CC                                     , 46  ,  Private Security Sector Provident Fund
Livhu Na Mashudu Security and Trading CC                                                        , 46  ,  Private Security Sector Provident Fund
Madiali Security & Project                                , 46  ,  Private Security Sector Provident Fund
Mfusi Risk Management t/a Mfusi Risk Management and Security                                   , 46  ,  Private Security Sector Provident Fund
Mosito Security                                           , 46  ,  Private Security Sector Provident Fund
Msezane Security                                          , 46  ,  Private Security Sector Provident Fund
Olifantskop Security Services                             , 46  ,  Private Security Sector Provident Fund
Organic Security Services                                 , 46  ,  Private Security Sector Provident Fund
Piquant Project CC                                        , 46  ,  Private Security Sector Provident Fund
Quick Save Security Services                              , 46  ,  Private Security Sector Provident Fund
Red Guard Security CC                                     , 46  ,  Private Security Sector Provident Fund
Rich-com Security                                         , 46  ,  Private Security Sector Provident Fund
SBX Protection Services                                   , 46  ,  Private Security Sector Provident Fund
Silwayiphi Cleaning and Security Services CC                                                        , 46  ,  Private Security Sector Provident Fund
SV Mbanjwa                                                , 46  ,  Private Security Sector Provident Fund
Yolihle Security and Distribution of Goods CC                                                        , 46  ,  Private Security Sector Provident Fund

Saphi (Clothing)                                          , 46  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Saiens Creations                                          , 46  , National Bargain Council for the Clothing Manufacturing Industry Northern Region  Chamber Provident Fund

Exception Furniture Manufacturers CC                      , 46  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Pica Kitchens and Shopfitters CC                          , 46  ,  Cape Provident Fund

Icon Business Furniture CC                                , 46  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Majacon 1120 CC t/a Spar Polokwane                        , 45  ,  SACCAWU National Provident Fund
Seasons Eco golf estate                                   , 45  ,  SACCAWU National Provident Fund
BC Security Solutions                                     , 45  ,  Private Security Sector Provident Fund
Ernatrax Alarms                                           , 45  ,  Private Security Sector Provident Fund
Gob Enterprise (Pty) Ltd                                  , 45  ,  Private Security Sector Provident Fund
Kan Security Solutions                                    , 45  ,  Private Security Sector Provident Fund
Khensani Security Services and Trading (Pty) Ltd                                                 , 45  ,  Private Security Sector Provident Fund
Moabi Security Services                                   , 45  ,  Private Security Sector Provident Fund
Musimeki 777 Trading                                      , 45  ,  Private Security Sector Provident Fund
Owamisbo Tradings t/a Owamisbo Security Services                                                  , 45  ,  Private Security Sector Provident Fund
S.M Stranghisi Trading Enterprise and Projects t/a S.M.S Security                               , 45  ,  Private Security Sector Provident Fund
Sniper Security                                           , 45  ,  Private Security Sector Provident Fund
The Invictus Security t/a Invictus Security               , 45  ,  Private Security Sector Provident Fund

Santos and Son Construction CC                            , 45  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Martiq 283 CC                                             , 45  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Alarm Pro Security                                        , 44  ,  Private Security Sector Provident Fund
Black Bees Security and Cleaning Services                 , 44  ,  Private Security Sector Provident Fund
Camlive Vision (Pty) Ltd                                  , 44  ,  Private Security Sector Provident Fund
Fast Catch Security and Training Service                  , 44  ,  Private Security Sector Provident Fund
Gordon Bay Security                                       , 44  ,  Private Security Sector Provident Fund
Hlaj Security                                             , 44  ,  Private Security Sector Provident Fund
J and J N Trading (Pty) Ltd                               , 44  ,  Private Security Sector Provident Fund
Jet Security CC                                           , 44  ,  Private Security Sector Provident Fund
Kangaroo Security Services                                , 44  ,  Private Security Sector Provident Fund
Limpo Security                                            , 44  ,  Private Security Sector Provident Fund
Mogola Security and Cleaning                              , 44  ,  Private Security Sector Provident Fund
Ph & PH Sekuriteit                                        , 44  ,  Private Security Sector Provident Fund
Pit Bull Security Services                                , 44  ,  Private Security Sector Provident Fund
Robbery Reaction Unit                                     , 44  ,  Private Security Sector Provident Fund
Silapha Security CC                                       , 44  ,  Private Security Sector Provident Fund
Starways Trading 16 CC t/a Starways Protection Services                                       , 44  ,  Private Security Sector Provident Fund
Test Lek Security CC                                      , 44  ,  Private Security Sector Provident Fund
Titan Asset Protection CC                                 , 44  ,  Private Security Sector Provident Fund
Top Shutters Security and Projects                        , 44  ,  Private Security Sector Provident Fund
Ditsobotla                                                , 43  ,  Municipal Councillors Pension Fund
Asprotech Security System CC                              , 43  ,  Private Security Sector Provident Fund
Diamond Jam Investments t/a DJ Security Services                                                  , 43  ,  Private Security Sector Provident Fund
JXN trillion Group (Pty) Ltd t/a JXN Security Services                                         , 43  ,  Private Security Sector Provident Fund
Komga Alarms                                              , 43  ,  Private Security Sector Provident Fund
Limika Investments (Pty) Ltd                              , 43  ,  Private Security Sector Provident Fund
Nibatha Security Services                                 , 43  ,  Private Security Sector Provident Fund
P & c Private and Confidential Services                   , 43  ,  Private Security Sector Provident Fund
Pholile Business Solutions                                , 43  ,  Private Security Sector Provident Fund
Sentinel Guard Services                                   , 43  ,  Private Security Sector Provident Fund
Sikhanya Sonke Security                                   , 43  ,  Private Security Sector Provident Fund
Siyakhana Security Primary Co-operative Limited                                                   , 43  ,  Private Security Sector Provident Fund
Undisputed Investments Trading as Undisputed Security                                       , 43  ,  Private Security Sector Provident Fund
Vhuthu Security                                           , 43  ,  Private Security Sector Provident Fund

Furn-doc CC                                               , 43  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Rite Valu Oakdene CC                                      , 42  ,  SACCAWU National Provident Fund
Brands Furnishers CC                                      , 42  ,  SACCAWU National Provident Fund
Eel Protection Service CC                                 , 42  ,  Private Security Sector Provident Fund
Gijimani Security Services                                , 42  ,  Private Security Sector Provident Fund
Hawk Risk Protection                                      , 42  ,  Private Security Sector Provident Fund
LandMark Security and Supply Services                     , 42  ,  Private Security Sector Provident Fund
Maqhwememe Security                                       , 42  ,  Private Security Sector Provident Fund
Matome and Moloto Protection Services                     , 42  ,  Private Security Sector Provident Fund
Nare Security Training and Protection Services                                                  , 42  ,  Private Security Sector Provident Fund
Ndinako Security and Cleaning Services                    , 42  ,  Private Security Sector Provident Fund
Netcovision t/a 911 Security & Cleaning Services                                                  , 42  ,  Private Security Sector Provident Fund
Papamani Reaction (Pty) Ltd                               , 42  ,  Private Security Sector Provident Fund
Scorpion Risk Holdings (Pty) Ltd                          , 42  ,  Private Security Sector Provident Fund
Securcorp (Pty) Ltd                                       , 42  ,  Private Security Sector Provident Fund
Securitas SA (Pty) Ltd                                    , 42  ,  Private Security Sector Provident Fund
Security Network Management                               , 42  ,  Private Security Sector Provident Fund
Services by MGM (Pty) Ltd                                 , 42  ,  Private Security Sector Provident Fund
Sthenhla Investments CC                                   , 42  ,  Private Security Sector Provident Fund
Top Class Asset Protection                                , 42  ,  Private Security Sector Provident Fund
Waphatha Group (Pty) Ltd                                  , 42  ,  Private Security Sector Provident Fund

King's Comfort Holding (Pty) Ltd                          , 42  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

QF Designs CC                                             , 42  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

Planet Seating CC                                         , 42  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Dunns - a Division of Pepkor Speciality
Stores (Pty) Ltd                                          , 41  ,  SACCAWU National Provident Fund
N.G.R. Liquors (Pty) Ltd                                  , 41  ,  SACCAWU National Provident Fund
Aludar 536                                                , 41  ,  Private Security Sector Provident Fund
Best Enough Trading and Projects 147 CC                   , 41  ,  Private Security Sector Provident Fund
Black Body Force t/a Black Body Force Security                                                  , 41  ,  Private Security Sector Provident Fund
Diamond Towers                                            , 41  ,  Private Security Sector Provident Fund
Ebs Security                                              , 41  ,  Private Security Sector Provident Fund
Izimbila Security                                         , 41  ,  Private Security Sector Provident Fund
Makjus Protection Services                                , 41  ,  Private Security Sector Provident Fund
Mk63 Security Services                                    , 41  ,  Private Security Sector Provident Fund
Molapo motle Enterprises & Construction                   , 41  ,  Private Security Sector Provident Fund
Phantom Burglar Alarms                                    , 41  ,  Private Security Sector Provident Fund
PPE Security and Projects (Pty) Ltd t/a
PPE Security                                              , 41  ,  Private Security Sector Provident Fund
Pro Tech Guarding                                         , 41  ,  Private Security Sector Provident Fund
Securezza                                                 , 41  ,  Private Security Sector Provident Fund
Thorburn Security Solutions (Pty) Ltd                     , 41  ,  Private Security Sector Provident Fund
World Focus 1818 t/a Sov Security
Services                                                  , 41  ,  Private Security Sector Provident Fund
Advantage Security and Cleaning Services
CC                                                        , 40  ,  Private Security Sector Provident Fund
Asguard Solutions                                         , 40  ,  Private Security Sector Provident Fund
Bambiso Training and Security Services                    , 40  ,  Private Security Sector Provident Fund
Comet Security Services CC                                , 40  ,  Private Security Sector Provident Fund
Marebole Security Solutions (Pty) Ltd                     , 40  ,  Private Security Sector Provident Fund
MK 8 diamonds (Pty) Ltd                                   , 40  ,  Private Security Sector Provident Fund
Newington Management 26 CC t/a x-ray
Group                                                     , 40  ,  Private Security Sector Provident Fund
One Security Group                                        , 40  ,  Private Security Sector Provident Fund
Oosteemoed Beskermangs Dienste                            , 40  ,  Private Security Sector Provident Fund
Opera Security Solutions                                  , 40  ,  Private Security Sector Provident Fund
RSM - Resource Service Management CC                      , 40  ,  Private Security Sector Provident Fund
Secure Rite Security                                      , 40  ,  Private Security Sector Provident Fund
Security One (Pty) Ltd                                    , 40  ,  Private Security Sector Provident Fund
Solbeth Protection Services CC t/a Solbeth
Protection & Risk Management                              , 40  ,  Private Security Sector Provident Fund
T M Sello Investments t/a Skgapi Security
Services                                                  , 40  ,  Private Security Sector Provident Fund
Tahuti Trading 121 CC t/a MBA Security                    , 40  ,  Private Security Sector Provident Fund
Texcor Forty Eight CC t/a Wain Carew
Security                                                  , 40  ,  Private Security Sector Provident Fund

Bloemfontein Upholsterers (Pty) Ltd                       , 40  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund

River Woods Manufacturing CC                              , 40  , Bargaining Council for the Furniture Manufacturing Industry of the Western  Cape Provident Fund
Am Guard                                                  , 39  ,  Private Security Sector Provident Fund
Be-khaye’s Trading Enterprise                             , 39  ,  Private Security Sector Provident Fund
Daka Protection Services                                  , 39  ,  Private Security Sector Provident Fund
Falcon Security Solutions                                 , 39  ,  Private Security Sector Provident Fund
GD Joner E.P.G.D                                          , 39  ,  Private Security Sector Provident Fund
GM Force Security Services                                , 39  ,  Private Security Sector Provident Fund
HSN Protection Services                                   , 39  ,  Private Security Sector Provident Fund
Mkhontokayise Security (Pty) Ltd t/a MKY
Security                                                  , 39  ,  Private Security Sector Provident Fund
Molwantwa Trading Construction                            , 39  ,  Private Security Sector Provident Fund
Mphotian & mapolisa Trading Enterprise
CC                                                        , 39  ,  Private Security Sector Provident Fund
Msinsi Holdings (Pty) Ltd                                 , 39  ,  Private Security Sector Provident Fund
Overstrand Protection Services CC                         , 39  ,  Private Security Sector Provident Fund
Santorini Professional Security                           , 39  ,  Private Security Sector Provident Fund
Yebo Force Security                                       , 39  ,  Private Security Sector Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
D & H Milner Jhb CC                                       , 39  ,  Chamber Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Awesome Shelving CC                                       , 39  ,  Cape Provident Fund
Staracoom                                                 , 38  ,  SACCAWU National Provident Fund
Bark Innovations                                          , 38  ,  SACCAWU National Provident Fund
Better Babies Nursery School                              , 38  ,  SACCAWU National Provident Fund
Matex@Decor D-zign                                        , 38  ,  SACCAWU National Provident Fund
At Home Security and Asset Protection                     , 38  ,  Private Security Sector Provident Fund
BelviPoint (Pty) Ltd t/a Priority One                     , 38  ,  Private Security Sector Provident Fund
Bhaki Trading and Supplier CC                             , 38  ,  Private Security Sector Provident Fund
Dynamic Guarding and Security                             , 38  ,  Private Security Sector Provident Fund
Emis Security (Pty) Ltd                                   , 38  ,  Private Security Sector Provident Fund
Eton Collar Security Service (Pty) Ltd                    , 38  ,  Private Security Sector Provident Fund
Hi-tech Security Umjindi Guards                           , 38  ,  Private Security Sector Provident Fund
Jimmy's Security CC                                       , 38  ,  Private Security Sector Provident Fund
KBMP Protection Services                                  , 38  ,  Private Security Sector Provident Fund
Keabetswe Security Services CC                            , 38  ,  Private Security Sector Provident Fund
Leez Security Protection and Training
Academy t/a Lesepta                                       , 38  ,  Private Security Sector Provident Fund
Mach 1 Security                                           , 38  ,  Private Security Sector Provident Fund
Mefa Protection Services (Pty) Ltd                        , 38  ,  Private Security Sector Provident Fund
Mode Security (Pty) Ltd                                   , 38  ,  Private Security Sector Provident Fund
Mshini Wami Protection Services                           , 38  ,  Private Security Sector Provident Fund
Palesa and Associates CC                                  , 38  ,  Private Security Sector Provident Fund
Protocol Protection Services                              , 38  ,  Private Security Sector Provident Fund
Safe Source Security Services                             , 38  ,  Private Security Sector Provident Fund
SGK Security Services                                     , 38  ,  Private Security Sector Provident Fund
Time to Know Security Services CC                         , 38  ,  Private Security Sector Provident Fund
Tswane Bizz Directory (Pty) Ltd t/a
Emerald Security                                          , 38  ,  Private Security Sector Provident Fund
ZZ Security                                               , 38  ,  Private Security Sector Provident Fund
Bohle Rekakgona Enterprise t/a BRT
Security                                                  , 37  ,  Private Security Sector Provident Fund
Cortez Protection and Projects Services                   , 37  ,  Private Security Sector Provident Fund
Ditshego Project Management t/a Ditshego
Dot Security Services                                     , 37  ,  Private Security Sector Provident Fund
Engelbrecht Security Services                             , 37  ,  Private Security Sector Provident Fund
Genesis k9 Group                                          , 37  ,  Private Security Sector Provident Fund
Halcysol                                                  , 37  ,  Private Security Sector Provident Fund
Interactive Security Consultants (Pty) Ltd                , 37  ,  Private Security Sector Provident Fund
Jungle Boys Landscape                                     , 37  ,  Private Security Sector Provident Fund
K2018333878 (South Africa) t/a wolf
Saldanha                                                  , 37  ,  Private Security Sector Provident Fund
Mashila Mavhalani General Services CC                     , 37  ,  Private Security Sector Provident Fund
Printers World                                            , 37  ,  Private Security Sector Provident Fund
Temba Accept Protection CC                                , 37  ,  Private Security Sector Provident Fund
Tshedza Tshashu New Roots (Pty) Ltd                       , 37  ,  Private Security Sector Provident Fund
Umshwathi Security Services (Pty) Ltd                     , 37  ,  Private Security Sector Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
Kgabang                                                   , 37  ,  Chamber Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Lazy Lizzards Furniture Manufacturers CC                  , 37  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Jannie & Richie CC                                        , 37  ,  Cape Provident Fund
Aequitas Security Solutions                               , 36  ,  Private Security Sector Provident Fund
African Community Protection Services                     , 36  ,  Private Security Sector Provident Fund
Alfa Omega Security                                       , 36  ,  Private Security Sector Provident Fund
Bonumart (Pty) Ltd                                        , 36  ,  Private Security Sector Provident Fund
Gravity Risk Consultant                                   , 36  ,  Private Security Sector Provident Fund
Guardcorp Inkunzi                                         , 36  ,  Private Security Sector Provident Fund
High Tech Security Solutions CC t/a Sniper
Security Solutions                                        , 36  ,  Private Security Sector Provident Fund
Idlangamandla Security Protection t/a
I.S.P.P Security                                          , 36  ,  Private Security Sector Provident Fund
Ihlokohloko Security Services CC                          , 36  ,  Private Security Sector Provident Fund
Mafahla Group (Pty) Ltd                                   , 36  ,  Private Security Sector Provident Fund
Mk Security Protection t/a Tholo Security                 , 36  ,  Private Security Sector Provident Fund
Nakke Investments (Pty) Ltd t/a Eye Spy
Security Solutions                                        , 36  ,  Private Security Sector Provident Fund
Pro Act Security                                          , 36  ,  Private Security Sector Provident Fund
Quell-Gapela Security Services                            , 36  ,  Private Security Sector Provident Fund
Shizuvani Security Services t/a SSS
Security Services                                         , 36  ,  Private Security Sector Provident Fund
Siva Security Services                                    , 36  ,  Private Security Sector Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
Embroidery artisans CC                                    , 36  ,  Chamber Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
Queentex                                                  , 36  ,  Chamber Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
Rampage                                                   , 36  ,  Chamber Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Runway Trading (Pty) Ltd                                  , 36  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Living Lounge Luxury (Pty) Ltd                            , 36  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Tlanggape Trading CC                                      , 36  ,  Cape Provident Fund
Mamusa Local Municipality                                 , 35  ,  Municipal Employees Pension Fund
Savoy supermarket                                         , 35  ,  SACCAWU National Provident Fund
Pinelands Kwikspar                                        , 35  ,  SACCAWU National Provident Fund
Tswaing Local Municipality                                , 35  ,  National Fund for Municipal Workers
Tswaing Local Municipality                                , 35  ,  National Fund for Municipal Workers
Atlantic Seaboard Armed Response                          , 35  ,  Private Security Sector Provident Fund
Batloboko Security Services                               , 35  ,  Private Security Sector Provident Fund
Confispace t/a Knight Security                            , 35  ,  Private Security Sector Provident Fund
GG Securities (Pty) Ltd                                   , 35  ,  Private Security Sector Provident Fund
Hlopi Protection Service                                  , 35  ,  Private Security Sector Provident Fund
Karibuni Security Services CC                             , 35  ,  Private Security Sector Provident Fund
Lindani Protection Services and Projects                  , 35  ,  Private Security Sector Provident Fund
Lionize Security Solutions                                , 35  ,  Private Security Sector Provident Fund
Mahlakuri Pythons Security                                , 35  ,  Private Security Sector Provident Fund
Monika Security Services                                  , 35  ,  Private Security Sector Provident Fund
Mphemphe Security & Projects                              , 35  ,  Private Security Sector Provident Fund
Mpofu Engineering Projects t/a Safehouse
Security Services                                         , 35  ,  Private Security Sector Provident Fund
Omega Risk Solutions – Lowveld                            , 35  ,  Private Security Sector Provident Fund
Orazone (Pty) Ltd t/a prospec                             , 35  ,  Private Security Sector Provident Fund
Pha-mash Trading Enterprise t/a Pha-
mash Security Solutions                                   , 35  ,  Private Security Sector Provident Fund
Richill Security t/a Kombat Force                         , 35  ,  Private Security Sector Provident Fund
Urban Watch Patrol t/a Urban Watch                        , 35  ,  Private Security Sector Provident Fund
Vanguard Integrated Services (Pty) Ltd ta
Vanguard Tactical Response                                , 35  ,  Private Security Sector Provident Fund
Vast Protection Solutions                                 , 35  ,  Private Security Sector Provident Fund
Zibokwakhe Security Services CC                           , 35  ,  Private Security Sector Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
K2014136381 (South Africa) (Pty) Ltd                      , 35  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
JLH Group (Pty) Ltd                                       , 35  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Teak and Tuft CC                                          , 35  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Rudis Wood Craft (Pty) Ltd                                , 35  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Van der Nest Furniture (Pty) Ltd                          , 35  ,  Cape Provident Fund
Vilamora Tours & Transfers                                , 35  ,  SARPBAC Retirement Fund
Umkhanyakude                                              , 34  ,  Municipal Councillors Pension Fund
T Zaki Flat Rentals                                       , 34  ,  SACCAWU National Provident Fund
Santinhos Spar                                            , 34  ,  SACCAWU National Provident Fund
Adeva Security                                            , 34  ,  Private Security Sector Provident Fund
Automatic Frequency Control Room CC                       , 34  ,  Private Security Sector Provident Fund
Biz Fire Worx                                             , 34  ,  Private Security Sector Provident Fund
Black Panther Fire Security and Access
Control                                                   , 34  ,  Private Security Sector Provident Fund
Bravopix 454 t/a Bravopix Security
Services                                                  , 34  ,  Private Security Sector Provident Fund
Dhugu ZN (Pty) Ltd                                        , 34  ,  Private Security Sector Provident Fund
Diablo Projects                                           , 34  ,  Private Security Sector Provident Fund
Epholeleng Security and Projects                          , 34  ,  Private Security Sector Provident Fund
Fuza Uzalo Trading and Projects                           , 34  ,  Private Security Sector Provident Fund
GMT Risk Solutions (Pty) Ltd                              , 34  ,  Private Security Sector Provident Fund
Good Work Security                                        , 34  ,  Private Security Sector Provident Fund
Guardops (Pty) Ltd                                        , 34  ,  Private Security Sector Provident Fund
Left Right and Centre Security Services
and Cleaning                                              , 34  ,  Private Security Sector Provident Fund
Loskop Alarms                                             , 34  ,  Private Security Sector Provident Fund
Mosepya Trading and Projects t/a MSP
Protection                                                , 34  ,  Private Security Sector Provident Fund
Mubenga La Famille t/a Mubenga                            , 34  ,  Private Security Sector Provident Fund
Ponvalley Business Enterprise                             , 34  ,  Private Security Sector Provident Fund
Takana Limpopo Security                                   , 34  ,  Private Security Sector Provident Fund
Thopas Security Services                                  , 34  ,  Private Security Sector Provident Fund
Three Sixty Security Concepts t/a 3Sixty
concepts                                                  , 34  ,  Private Security Sector Provident Fund
Top Tactical Team (Pty) Ltd                               , 34  ,  Private Security Sector Provident Fund
Wellington Security CC (PSSPF)                            , 34  ,  Private Security Sector Provident Fund
Wildlife Security Consultants (Pty) Ltd t/a
WSC                                                       , 34  ,  Private Security Sector Provident Fund
Zelascope (Pty) Ltd                                       , 34  ,  Private Security Sector Provident Fund
                                                                   National Bargain Council for the Clothing
                                                                   Manufacturing Industry Northern Region
Imvusa Trading 1520 CC                                    , 34  ,  Chamber Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Franco Lounge (Pty) Ltd                                   , 34  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Pieters en Pieters Hout en Staal CC                       , 34  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Matthews Lethogela                                        , 34  ,  Cape Provident Fund
                                                                   Bargaining Council for the Furniture
                                                                   Manufacturing Industry of the Western
Ngwenyama Trading 8 CC                                    , 34  ,  Cape Provident Fund
Dr AB Joosub                                              , 33  ,  SACCAWU National Provident Fund
                                                                   Corporate Selection Umbrella Retirement
RK Structures CC                                          , 33  ,  Fund No 2
Afeziwe Holdings                                          , 33  ,  Private Security Sector Provident Fund
Akuva Security                                            , 33  ,  Private Security Sector Provident Fund
Body Corporate of Ipanema Beach                           , 33  ,  Private Security Sector Provident Fund
Chyke Security Services                                   , 33  ,  Private Security Sector Provident Fund
E and B Guarding and Alarms                               , 33  ,  Private Security Sector Provident Fund
EDC Security Services (Pty) Ltd                           , 33  ,  Private Security Sector Provident Fund
Estcourt Security & Electric Fencing CC                   , 33  ,  Private Security Sector Provident Fund
Interval Training Academy and Security
Services                                                  , 33  ,  Private Security Sector Provident Fund
Jimkhwa Security Services                                 , 33  ,  Private Security Sector Provident Fund
K9 Search Team (Pty) Ltd                                  , 33  ,  Private Security Sector Provident Fund
Khabs Security Services                                   , 33  ,  Private Security Sector Provident Fund
Marshall aCCess Control t/a marshall
Electronics                                               , 33  ,  Private Security Sector Provident Fund
Menlo cit                                                 , 33  ,  Private Security Sector Provident Fund
