employer                 ,outstanding months, Name of Fund
Kasselman Buurtveiligheid BKP                             , 193 ,  Private Security Sector Provident Fund
Mhonko`s Security Services (Pty) Ltd                      , 193 ,  Private Security Sector Provident Fund
Anmar Guarding                                            , 192 ,  Private Security Sector Provident Fund
Busicor 150 CC                                            , 192 ,  Private Security Sector Provident Fund
One Dey Trading CC                                        , 192 ,  Private Security Sector Provident Fund
Voigro Investments 29 CC                                  , 192 ,  Private Security Sector Provident Fund
Xhantilomzi General Trading                               , 192 ,  Private Security Sector Provident Fund
Binang Security CC                                        , 191 ,  Private Security Sector Provident Fund
Bonolo Holdings CC                                        , 191 ,  Private Security Sector Provident Fund
Calibre Security 24hr Armed Response                      , 191 ,  Private Security Sector Provident Fund
CDK Security                                              , 191 ,  Private Security Sector Provident Fund
Tyzer-T Security Services                                 , 191 ,  Private Security Sector Provident Fund
Wesizwe Risk Solutions                                    , 191 ,  Private Security Sector Provident Fund
Makabongwe Security Services                              , 190 ,  Private Security Sector Provident Fund
Malmesbury Security Officers                              , 190 ,  Private Security Sector Provident Fund
Marshall Nights Security Services                         , 190 ,  Private Security Sector Provident Fund
Rank Protection Services                                  , 190 ,  Private Security Sector Provident Fund
Emerald Security & Alarms CC                              , 189 ,  Private Security Sector Provident Fund
New Approach 18 CC                                        , 189 ,  Private Security Sector Provident Fund
S.A. Security Services (Pty) Ltd                          , 189 ,  Private Security Sector Provident Fund
Southern Frontiers Corporation                            , 189 ,  Private Security Sector Provident Fund
Tango Foxtrot Security                                    , 189 ,  Private Security Sector Provident Fund
Article Investments 11 (Pty) Ltd. TA Brother in Arms      , 188 ,  Private Security Sector Provident Fund
Gingirikani Security Services                             , 188 ,  Private Security Sector Provident Fund
Grit Security Services CC                                 , 188 ,  Private Security Sector Provident Fund
Markgold Trading CC                                       , 188 ,  Private Security Sector Provident Fund
Phangela Group                                            , 188 ,  Private Security Sector Provident Fund
SOS Protec National Division                              , 188 ,  Private Security Sector Provident Fund
Bongumbambo Security & Training                           , 187 ,  Private Security Sector Provident Fund
Ihhashi Elemplophe Security Services CC ta White Horse Training Academy                           , 187 ,  Private Security Sector Provident Fund
Lesedi Security Training and Services                     , 187 ,  Private Security Sector Provident Fund
Top Class Security & Training Academy CC                                                        , 187 ,  Private Security Sector Provident Fund
Zema Security                                             , 187 ,  Private Security Sector Provident Fund
Derrick Kinder Group Security Services                    , 186 ,  Private Security Sector Provident Fund
Dintle Trading Enterprise                                 , 186 ,  Private Security Sector Provident Fund
Shpits Security Tygerberg                                 , 186 ,  Private Security Sector Provident Fund
VR Security                                               , 186 ,  Private Security Sector Provident Fund
Impumelelo Academy CC                                     , 185 ,  Private Security Sector Provident Fund
Naledi Security                                           , 185 ,  Private Security Sector Provident Fund
African Consultancy for Transportation se                 , 184 ,  Private Security Sector Provident Fund
Boss Sekuriteit                                           , 184 ,  Private Security Sector Provident Fund
Surego Investments 13 (Pty) Ltd (PSSPF)                   , 184 ,  Private Security Sector Provident Fund
Vizual Security Services (Pty) Ltd                        , 184 ,  Private Security Sector Provident Fund
Madiseng Protection Services CC                           , 183 ,  Private Security Sector Provident Fund
Criss-Cross Security CC                                   , 182 ,  Private Security Sector Provident Fund
Easy Security Services & Guards (Pty) Ltd                 , 181 ,  Private Security Sector Provident Fund
Eldna Security Services CC                                , 181 ,  Private Security Sector Provident Fund
JJ Gordon                                                 , 181 ,  Private Security Sector Provident Fund
Kalethabo Trading 74 CC                                   , 181 ,  Private Security Sector Provident Fund
Kunyani Security Services (Pty) Ltd                       , 181 ,  Private Security Sector Provident Fund
Lowveld Security Consultants CC                           , 181 ,  Private Security Sector Provident Fund
Mendy Segura Security                                     , 181 ,  Private Security Sector Provident Fund
Mustang Secure Distribution CC                            , 181 ,  Private Security Sector Provident Fund
Sholoza Security Service                                  , 181 ,  Private Security Sector Provident Fund
Vusa Isizwe Security                                      , 181 ,  Private Security Sector Provident Fund
Circle Seven Trading 26 CC                                , 180 ,  Private Security Sector Provident Fund
L.O. Alarms & Guards                                      , 180 ,  Private Security Sector Provident Fund
Nomaduku Security Services                                , 180 ,  Private Security Sector Provident Fund
Secupro                                                   , 180 ,  Private Security Sector Provident Fund
Shivrika Field Security                                   , 180 ,  Private Security Sector Provident Fund
Sunrag Holdings CC                                        , 180 ,  Private Security Sector Provident Fund
Twin Towers Body Corporation                              , 180 ,  Private Security Sector Provident Fund
Wiseguards Security                                       , 180 ,  Private Security Sector Provident Fund
Badger Security Services                                  , 179 ,  Private Security Sector Provident Fund
Flexi Trade 112 CC                                        , 179 ,  Private Security Sector Provident Fund
JW.van Waveren                                            , 179 ,  Private Security Sector Provident Fund
Likru Security                                            , 179 ,  Private Security Sector Provident Fund
DCM Security (Pty) Ltd                                    , 178 ,  Private Security Sector Provident Fund
Malmesbury Security Services CC                           , 178 ,  Private Security Sector Provident Fund
Nyengelezi Trading Enterprise CC                          , 178 ,  Private Security Sector Provident Fund
Secret Eye Surveillance CC                                , 178 ,  Private Security Sector Provident Fund
Z.B. (Zaahid Beg) Security Services CC                    , 178 ,  Private Security Sector Provident Fund
African Renaisance Security Services                      , 177 ,  Private Security Sector Provident Fund
Danga Security                                            , 177 ,  Private Security Sector Provident Fund
District Watch                                            , 177 ,  Private Security Sector Provident Fund
Khupukani Security                                        , 177 ,  Private Security Sector Provident Fund
Recall Effective Control Service (Gauteng)                , 177 ,  Private Security Sector Provident Fund
SA Security Alarms (Pty) Ltd                              , 177 ,  Private Security Sector Provident Fund
Tyeks Security Services                                   , 177 ,  Private Security Sector Provident Fund
42nd Precinct Security                                    , 176 ,  Private Security Sector Provident Fund
Amantla Security Services CC                              , 176 ,  Private Security Sector Provident Fund
Funulwazi Trading CC                                      , 176 ,  Private Security Sector Provident Fund
Jamieson Security                                         , 176 ,  Private Security Sector Provident Fund
DT Risk Management CC                                     , 175 ,  Private Security Sector Provident Fund
Goodwood Armed Patrols                                    , 175 ,  Private Security Sector Provident Fund
I & E Security Force                                      , 175 ,  Private Security Sector Provident Fund
Red Guard                                                 , 175 ,  Private Security Sector Provident Fund
Reds Security                                             , 175 ,  Private Security Sector Provident Fund
Thembinkosi Security                                      , 175 ,  Private Security Sector Provident Fund
Echo Deals 150CC                                          , 174 ,  Private Security Sector Provident Fund
Megaphase Trading 465CC                                   , 174 ,  Private Security Sector Provident Fund
Siya-Gijima Security Services                             , 174 ,  Private Security Sector Provident Fund
Mbonambi                                                  , 173 ,  Municipal Councillors Pension Fund
A Force Security                                          , 173 ,  Private Security Sector Provident Fund
Diana Mike Trading Enterprise                             , 173 ,  Private Security Sector Provident Fund
Fawcett Security Services (NW)                            , 173 ,  Private Security Sector Provident Fund
Lad Security Services                                     , 173 ,  Private Security Sector Provident Fund
Maphokothela Construction & Projects                      , 173 ,  Private Security Sector Provident Fund
Umkhosi Protection Services                               , 173 ,  Private Security Sector Provident Fund
Aficionada Protection Services                            , 172 ,  Private Security Sector Provident Fund
B2n Security Services                                     , 172 ,  Private Security Sector Provident Fund
Impisi Security Services CC                               , 172 ,  Private Security Sector Provident Fund
Insingizi Security                                        , 172 ,  Private Security Sector Provident Fund
Ithongo Security Services                                 , 172 ,  Private Security Sector Provident Fund
DlS Security Services                                     , 171 ,  Private Security Sector Provident Fund
Mbazwane Protection Security                              , 171 ,  Private Security Sector Provident Fund
Mig Protection Services                                   , 171 ,  Private Security Sector Provident Fund
P91 Security Services                                     , 171 ,  Private Security Sector Provident Fund
Patin Trading 176 (Pty) Ltd                               , 171 ,  Private Security Sector Provident Fund
Soviet Security                                           , 171 ,  Private Security Sector Provident Fund
Top Six Trading                                           , 171 ,  Private Security Sector Provident Fund
